"Country or Area","Year(s)","Value","Value Footnotes"
"China","2011","73",""
"China","2010","64",""
"Colombia","2012","103",""
"Colombia","2011","98",""
"Colombia","2010","96",""
"Comoros","2012","40",""
"Comoros","2011","29",""
"Comoros","2010","22",""
"Congo","2012","99",""
"Congo","2011","94",""
"Congo","2010","94",""
"Cook Islands","2010","38",""
"Costa Rica","2012","112",""
"Costa Rica","2011","92",""
"Costa Rica","2010","65",""
"Côte d’Ivoire","2012","91",""
"Côte d’Ivoire","2011","86",""
"Côte d’Ivoire","2010","76",""
"Croatia","2012","115",""
"Croatia","2011","116",""
"Croatia","2010","144",""
"Cuba","2012","15",""
"Cuba","2011","12",""
"Cuba","2010","9",""
"Cyprus","2012","98",""
"Cyprus","2011","98",""
"Cyprus","2010","94",""
"Czech Republic","2012","127",""
"Czech Republic","2011","123",""
"Czech Republic","2010","137",""
"Democratic People's Republic of Korea","2012","7",""
"Democratic People's Republic of Korea","2011","4",""
"Democratic People's Republic of Korea","2010","2",""
"Democratic Republic of the Congo","2012","31",""
"Democratic Republic of the Congo","2011","23",""
"Democratic Republic of the Congo","2010","18",""
"Denmark","2012","118",""
"Denmark","2011","128",""
"Denmark","2010","125",""
"Djibouti","2012","25",""
"Djibouti","2011","21",""
"Djibouti","2010","19",""
"Dominica","2012","152",""
"Dominica","2011","164",""
"Dominica","2010","156",""
"Dominican Republic","2012","87",""
"Dominican Republic","2011","87",""
"Dominican Republic","2010","90",""
"Ecuador","2012","106",""
"Ecuador","2011","105",""
"Ecuador","2010","102",""
"Egypt","2012","120",""
"Egypt","2011","101",""
"Egypt","2010","87",""
"El Salvador","2012","137",""
"El Salvador","2011","134",""
"El Salvador","2010","124",""
"Equatorial Guinea","2012","68",""
"Equatorial Guinea","2011","59",""
"Equatorial Guinea","2010","57",""
"Eritrea","2012","5",""
"Eritrea","2011","4",""
"Eritrea","2010","4",""
"Estonia","2012","160",""
"Estonia","2011","139",""
"Estonia","2010","123",""
"Ethiopia","2012","22",""
"Ethiopia","2011","17",""
"Ethiopia","2010","8",""
"Fiji","2012","98",""
"Fiji","2011","84",""
"Fiji","2010","81",""
"Finland","2012","172",""
"Finland","2011","166",""
"Finland","2010","156",""
"France","2012","97",""
"France","2011","95",""
"France","2010","101",""
"Gabon","2012","179",""
"Gabon","2011","117",""
"Gabon","2010","107",""
"Gambia","2012","85",""
"Gambia","2011","79",""
"Gambia","2010","86",""
"Georgia","2012","108",""
"Georgia","2011","102",""
"Georgia","2010","91",""
"Germany","2012","112",""
"Germany","2011","132",""
"Germany","2010","127",""
"Ghana","2012","101",""
"Ghana","2011","85",""
"Ghana","2010","71",""
"Greece","2012","120",""
"Greece","2011","106",""
"Greece","2010","108",""
"Grenada","2012","121",""
"Grenada","2010","117",""
"Guatemala","2012","138",""
"Guatemala","2011","140",""
"Guatemala","2010","126",""
"Guinea","2012","42",""
"Guinea","2011","44",""
"Guinea","2010","40",""
"Guinea-Bissau","2012","63",""
"Guinea-Bissau","2011","56",""
"Guinea-Bissau","2010","39",""
"Guyana","2012","69",""
"Guyana","2011","70",""
"Guyana","2010","74",""
"Haiti","2012","60",""
"Haiti","2011","41",""
"Haiti","2010","40",""
"Honduras","2012","93",""
"Honduras","2011","104",""
"Honduras","2010","125",""
"Hungary","2012","116",""
"Hungary","2011","117",""
"Hungary","2010","120",""
"Iceland","2012","108",""
"Iceland","2011","106",""
"Iceland","2010","107",""
"India","2012","70",""
"India","2011","72",""
"India","2010","61",""
"Indonesia","2012","114",""
"Indonesia","2011","103",""
"Indonesia","2010","92",""
"Iran (Islamic Republic of)","2012","76",""
"Iran (Islamic Republic of)","2011","75",""
"Iran (Islamic Republic of)","2010","91",""
"Iraq","2012","82",""
"Iraq","2011","78",""
"Iraq","2010","76",""
"Ireland","2012","107",""
"Ireland","2011","108",""
"Ireland","2010","105",""
"Israel","2012","121",""
"Israel","2011","122",""
"Israel","2010","133",""
"Italy","2012","160",""
"Italy","2011","158",""
"Italy","2010","150",""
"Jamaica","2012","96",""
"Jamaica","2011","108",""
"Jamaica","2010","116",""
"Japan","2012","111",""
"Japan","2011","105",""
"Japan","2010","95",""
"Jordan","2012","128",""
"Jordan","2011","118",""
"Jordan","2010","107",""
"Kazakhstan","2012","186",""
"Kazakhstan","2011","156",""
"Kazakhstan","2010","121",""
"Kenya","2012","71",""
"Kenya","2011","67",""
"Kenya","2010","62",""
"Kiribati","2012","16",""
"Kiribati","2011","14",""
"Kiribati","2010","10",""
"Kuwait","2012","157",""
"Kuwait","2011","175",""
"Kuwait","2010","161",""
"Kyrgyzstan","2012","124",""
"Kyrgyzstan","2011","116",""
"Kyrgyzstan","2010","99",""
"Lao People's Democratic Republic","2012","65",""
"Lao People's Democratic Republic","2011","87",""
"Lao People's Democratic Republic","2010","65",""
"Latvia","2012","112",""
"Latvia","2011","103",""
"Latvia","2010","102",""
"Lebanon","2012","81",""
"Lebanon","2011","79",""
"Lebanon","2010","68",""
"Lesotho","2012","75",""
"Lesotho","2011","56",""
"Lesotho","2010","45",""
"Liberia","2012","57",""
"Liberia","2011","49",""
"Liberia","2010","39",""
"Libya","2012","156",""
"Libya","2011","156",""
"Libya","2010","172",""
"Lithuania","2012","165",""
"Lithuania","2011","151",""
"Lithuania","2010","147",""
"Luxembourg","2012","145",""
"Luxembourg","2011","148",""
"Luxembourg","2010","143",""
"Madagascar","2012","39",""
"Madagascar","2011","41",""
"Madagascar","2010","37",""
"Malawi","2012","29",""
"Malawi","2011","26",""
"Malawi","2010","20",""
"Malaysia","2012","141",""
"Malaysia","2011","127",""
"Malaysia","2010","119",""
"Maldives","2012","166",""
"Maldives","2011","166",""
"Maldives","2010","157",""
"Mali","2012","98",""
"Mali","2011","68",""
"Mali","2010","48",""
"Malta","2012","127",""
"Malta","2011","125",""
"Malta","2010","109",""
"Marshall Islands","2010","7",""
"Mauritania","2012","106",""
"Mauritania","2011","94",""
"Mauritania","2010","79",""
"Mauritius","2012","120",""
"Mauritius","2011","99",""
"Mauritius","2010","92",""
"Mexico","2012","83",""
"Mexico","2011","82",""
"Mexico","2010","81",""
"Micronesia (Federated States of)","2012","30",""
"Micronesia (Federated States of)","2010","25",""
"Monaco","2012","88",""
"Monaco","2011","90",""
"Monaco","2010","74",""
"Mongolia","2012","121",""
"Mongolia","2011","105",""
"Mongolia","2010","91",""
"Montenegro","2012","181",""
"Montenegro","2010","185",""
"Morocco","2012","120",""
"Morocco","2011","113",""
"Morocco","2010","100",""
"Mozambique","2012","36",""
"Mozambique","2011","33",""
"Mozambique","2010","31",""
"Myanmar","2012","10",""
"Myanmar","2011","3",""
"Myanmar","2010","1",""
"Namibia","2012","95",""
"Namibia","2011","96",""
"Namibia","2010","67",""
"Nauru","2012","68",""
"Nauru","2011","65",""
"Nauru","2010","60",""
"Nepal","2012","60",""
"Nepal","2011","44",""
"Nepal","2010","31",""
"Netherlands","2012","118",""
"Netherlands","2010","115",""
"New Zealand","2012","110",""
"New Zealand","2011","109",""
"New Zealand","2010","115",""
"Nicaragua","2012","86",""
"Nicaragua","2011","82",""
"Nicaragua","2010","65",""
"Niger","2012","31",""
"Niger","2011","30",""
"Niger","2010","25",""
"Nigeria","2012","67",""
"Nigeria","2011","59",""
"Nigeria","2010","55",""
"Niue","2010","0",""
"Norway","2012","117",""
"Norway","2011","116",""
"Norway","2010","116",""
"Oman","2012","159",""
"Oman","2011","169",""
"Oman","2010","166",""
"Pakistan","2012","67",""
"Pakistan","2011","62",""
"Pakistan","2010","57",""
"Palau","2012","83",""
"Palau","2011","75",""
"Palau","2010","71",""
"Panama","2012","178",""
"Panama","2011","189",""
"Panama","2010","185",""
"Papua New Guinea","2012","38",""
"Papua New Guinea","2011","34",""
"Papua New Guinea","2010","28",""
"Paraguay","2012","102",""
"Paraguay","2011","99",""
"Paraguay","2010","92",""
"Peru","2012","98",""
"Peru","2011","110",""
"Peru","2010","100",""
"Philippines","2012","107",""
"Philippines","2011","99",""
"Philippines","2010","86",""
"Poland","2012","140",""
"Poland","2011","131",""
"Poland","2010","123",""
"Portugal","2012","116",""
"Portugal","2011","115",""
"Portugal","2010","142",""
"Qatar","2012","127",""
"Qatar","2011","123",""
"Qatar","2010","132",""
"Republic of Korea","2012","109",""
"Republic of Korea","2011","109",""
"Republic of Korea","2010","105",""
"Republic of Moldova","2012","102",""
"Republic of Moldova","2011","105",""
"Republic of Moldova","2010","89",""
"Romania","2012","105",""
"Romania","2011","109",""
"Romania","2010","115",""
"Russian Federation","2012","183",""
"Russian Federation","2011","179",""
"Russian Federation","2010","166",""
"Rwanda","2012","50",""
"Rwanda","2011","41",""
"Rwanda","2010","33",""
"Saint Kitts and Nevis","2012","157",""
"Saint Kitts and Nevis","2010","153",""
"Saint Lucia","2012","126",""
"Saint Lucia","2011","123",""
"Saint Lucia","2010","114",""
"Saint Vincent and the Grenadines","2012","124",""
"Saint Vincent and the Grenadines","2011","121",""
"Saint Vincent and the Grenadines","2010","121",""
"Samoa","2010","91",""
"San Marino","2012","115",""
"San Marino","2011","112",""
"San Marino","2010","76",""
"Sao Tome and Principe","2012","65",""
"Sao Tome and Principe","2011","68",""
"Sao Tome and Principe","2010","62",""
"Saudi Arabia","2012","187",""
"Saudi Arabia","2011","191",""
"Saudi Arabia","2010","188",""
"Senegal","2012","84",""
"Senegal","2011","73",""
"Senegal","2010","67",""
"Serbia","2012","96",""
"Serbia","2011","125",""
"Serbia","2010","129",""
"Seychelles","2012","148",""
"Seychelles","2011","146",""
"Seychelles","2010","136",""
"Sierra Leone","2012","37",""
"Sierra Leone","2011","36",""
"Sierra Leone","2010","34",""
"Singapore","2012","152",""
"Singapore","2011","150",""
"Singapore","2010","145",""
"Slovakia","2012","112",""
"Slovakia","2011","109",""
"Slovakia","2010","108",""
"Slovenia","2012","109",""
"Slovenia","2011","107",""
"Slovenia","2010","105",""
"Solomon Islands","2012","55",""
"Solomon Islands","2011","50",""
"Solomon Islands","2010","6",""
"Somalia","2012","23",""
"Somalia","2011","7",""
"Somalia","2010","7",""
"South Africa","2012","131",""
"South Africa","2011","127",""
"South Africa","2010","100",""
"South Sudan","2012","21",""
"Spain","2012","108",""
"Spain","2011","113",""
"Spain","2010","112",""
"Sri Lanka","2012","92",""
"Sri Lanka","2011","87",""
"Sri Lanka","2010","83",""
"Sudan","2012","74",""
"Sudan","2011","56",""
"Sudan","2010","41",""
"Suriname","2012","106",""
"Suriname","2011","179",""
"Suriname","2010","170",""
"Swaziland","2012","65",""
"Swaziland","2011","64",""
"Swaziland","2010","62",""
"Sweden","2012","125",""
"Sweden","2011","119",""
"Sweden","2010","116",""
"Switzerland","2012","130",""
"Switzerland","2011","131",""
"Switzerland","2010","124",""
"Syrian Arab Republic","2012","59",""
"Syrian Arab Republic","2011","63",""
"Syrian Arab Republic","2010","58",""
"Tajikistan","2012","82",""
"Tajikistan","2011","91",""
"Tajikistan","2010","86",""
"Thailand","2012","127",""
"Thailand","2011","112",""
"Thailand","2010","104",""
"The former Yugoslav Republic of Macedonia","2012","106",""
"The former Yugoslav Republic of Macedonia","2011","107",""
"The former Yugoslav Republic of Macedonia","2010","105",""
"Timor-Leste","2012","56",""
"Timor-Leste","2011","53",""
"Timor-Leste","2010","53",""
"Togo","2012","50",""
"Togo","2011","50",""
"Togo","2010","41",""
"Tonga","2012","53",""
"Tonga","2011","53",""
"Tonga","2010","52",""
"Trinidad and Tobago","2012","141",""
"Trinidad and Tobago","2011","136",""
"Trinidad and Tobago","2010","141",""
"Tunisia","2012","118",""
"Tunisia","2011","117",""
"Tunisia","2010","106",""
"Turkey","2012","91",""
"Turkey","2011","89",""
"Turkey","2010","85",""
"Turkmenistan","2012","76",""
"Turkmenistan","2011","69",""
"Turkmenistan","2010","63",""
"Tuvalu","2012","28",""
"Tuvalu","2011","22",""
"Tuvalu","2010","25",""
"Uganda","2012","45",""
"Uganda","2011","48",""
"Uganda","2010","38",""
"Ukraine","2012","130",""
"Ukraine","2011","123",""
"Ukraine","2010","119",""
"United Arab Emirates","2012","150",""
"United Arab Emirates","2011","149",""
"United Arab Emirates","2010","145",""
"United Kingdom","2012","135",""
"United Kingdom","2011","131",""
"United Kingdom","2010","131",""
"United Republic of Tanzania","2012","57",""
"United Republic of Tanzania","2011","56",""
"United Republic of Tanzania","2010","47",""
"United States of America","2012","95",""
"United States of America","2011","93",""
"United States of America","2010","90",""
"Uruguay","2012","147",""
"Uruguay","2011","141",""
"Uruguay","2010","132",""
"Uzbekistan","2012","71",""
"Uzbekistan","2011","92",""
"Uzbekistan","2010","76",""
"Vanuatu","2012","59",""
"Vanuatu","2011","56",""
"Vanuatu","2010","119",""
"Venezuela (Bolivarian Republic of)","2012","102",""
"Venezuela (Bolivarian Republic of)","2011","98",""
"Venezuela (Bolivarian Republic of)","2010","96",""
"Viet Nam","2012","148",""
"Viet Nam","2011","143",""
"Viet Nam","2010","175",""
"Yemen","2012","58",""
"Yemen","2011","47",""
"Yemen","2010","46",""
"Zambia","2012","75",""
"Zambia","2011","61",""
"Zambia","2010","42",""
"Zimbabwe","2012","92",""
"Zimbabwe","2011","72",""
"Zimbabwe","2010","61",""

